section,male,female,lastUpdate,date
0,0,1,2021-01-13T14:46:19.050Z,2021-01-13T14:46:19.050Z
10,1,1,2021-01-13T14:46:19.050Z,2021-01-13T14:46:19.050Z
20,4,3,2021-01-13T14:46:19.050Z,2021-01-13T14:46:19.050Z
30,11,12,2021-01-13T14:46:19.050Z,2021-01-13T14:46:19.050Z
40,46,22,2021-01-13T14:46:19.050Z,2021-01-13T14:46:19.050Z
50,103,47,2021-01-13T14:46:19.050Z,2021-01-13T14:46:19.050Z
60,157,78,2021-01-13T14:46:19.050Z,2021-01-13T14:46:19.050Z
70,163,116,2021-01-13T14:46:19.050Z,2021-01-13T14:46:19.050Z
80,117,107,2021-01-13T14:46:19.050Z,2021-01-13T14:46:19.050Z
90,33,55,2021-01-13T14:46:19.050Z,2021-01-13T14:46:19.050Z
