section,male,female,lastUpdate,date
0,0,0,2020-11-05T04:08:38.337Z,2020-11-05T04:08:38.337Z
10,2,1,2020-11-05T04:08:38.337Z,2020-11-05T04:08:38.337Z
20,0,1,2020-11-05T04:08:38.337Z,2020-11-05T04:08:38.337Z
30,1,0,2020-11-05T04:08:38.337Z,2020-11-05T04:08:38.337Z
40,5,2,2020-11-05T04:08:38.337Z,2020-11-05T04:08:38.337Z
50,19,10,2020-11-05T04:08:38.337Z,2020-11-05T04:08:38.337Z
60,38,9,2020-11-05T04:08:38.337Z,2020-11-05T04:08:38.337Z
70,27,19,2020-11-05T04:08:38.337Z,2020-11-05T04:08:38.337Z
80,7,7,2020-11-05T04:08:38.337Z,2020-11-05T04:08:38.337Z
90,2,2,2020-11-05T04:08:38.337Z,2020-11-05T04:08:38.337Z
