total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2020,1870,360,301,785,383,2021-01-20T20:20:13.790Z
100,93,19,16,42,20,2021-01-20T20:20:13.790Z
