total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3270,816,152,112,281,248,2021-03-22T05:32:53.070Z
100,25,19,14,34,30,2021-03-22T05:32:53.070Z
