total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2020,1829,385,268,762,394,2021-01-21T16:16:22.323Z
100,91,21,15,42,22,2021-01-21T16:16:22.323Z
