section,male,female,lastUpdate,date
0,35754,33961,2021-01-21T16:16:22.323Z,2021-01-21T16:16:22.323Z
10,65339,55296,2021-01-21T16:16:22.323Z,2021-01-21T16:16:22.323Z
20,54993,54817,2021-01-21T16:16:22.323Z,2021-01-21T16:16:22.323Z
30,39421,41435,2021-01-21T16:16:22.323Z,2021-01-21T16:16:22.323Z
40,34255,37630,2021-01-21T16:16:22.323Z,2021-01-21T16:16:22.323Z
50,26363,28077,2021-01-21T16:16:22.323Z,2021-01-21T16:16:22.323Z
60,19097,17986,2021-01-21T16:16:22.323Z,2021-01-21T16:16:22.323Z
70,9515,9067,2021-01-21T16:16:22.323Z,2021-01-21T16:16:22.323Z
80,4091,5475,2021-01-21T16:16:22.323Z,2021-01-21T16:16:22.323Z
90,1074,2317,2021-01-21T16:16:22.323Z,2021-01-21T16:16:22.323Z
