total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2892,638,131,76,197,226,2021-03-30T04:29:22.700Z
100,22,21,12,31,35,2021-03-30T04:29:22.700Z
