name,coronaOccupancy,normalOccupancy,isolatedTeam,lastUpdate,date
שיבא,,87.15190124511719,64,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
יוספטל,,53.84615325927734,4,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
שמיר,,66.55443572998047,60,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
וולפסון,,74.08492279052734,28,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
זיו צפת,,72.62247467041016,19,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
הלל יפה,,75.1456298828125,22,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
נהריה,,75.38035583496094,21,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
ברזילי,,73.01324462890625,23,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
פוריה,,62.81690216064453,7,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
סוראסקי,,101.3663558959961,57,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
בני ציון,,69.5150146484375,10,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
רבין ק. בילינסון,,75.56886291503906,45,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
סורוקה,,69.0250244140625,21,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
מאיר,,66.58097839355469,19,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
קפלן,,80.86642456054688,47,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
"רמב""ם",,84.83606719970703,29,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
הכרמל,,70.96114349365234,17,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
השרון ק. גולדה,,46.47303009033203,18,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
הדסה עין כרם,,,68,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
הסקוטי,,73.68421173095703,1,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
המשפחה הקדושה,,,0,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
סנט ג'וזף,,,0,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
שערי צדק,,92.87469482421875,31,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
אל מקאסד,,,0,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
לניאדו,,76.60166931152344,30,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
אוגוסטה ויקטוריה,,,1,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
מעייני הישועה,,96.51898956298828,31,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
אסותא אשדוד,,,3,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
שניידר,,,0,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
סנט וינסנט,,31.34328269958496,1,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
המרכזי בעמק,,72.06896209716797,25,2021-02-12T13:11:45.160Z,2021-02-12T13:11:45.160Z
