total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2919,1534,317,215,610,392,2021-02-12T13:11:45.160Z
100,53,21,14,40,26,2021-02-12T13:11:45.160Z
