total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2892,429,92,64,105,163,2021-04-10T16:32:56.560Z
100,15,21,15,24,38,2021-04-10T16:32:56.560Z
