date,amount,amountVirusDiagnosis,positiveAmount,lastUpdate
2020-04-18T00:00:00.000Z,10607,8961,291,2020-09-08T07:04:17.997Z
2020-04-19T00:00:00.000Z,11480,10000,277,2020-09-08T07:04:17.997Z
2020-04-20T00:00:00.000Z,15367,13297,299,2020-09-08T07:04:17.997Z
2020-04-21T00:00:00.000Z,13613,11637,283,2020-09-08T07:04:17.997Z
2020-04-22T00:00:00.000Z,13293,11776,226,2020-09-08T07:04:17.997Z
2020-04-23T00:00:00.000Z,14183,12263,276,2020-09-08T07:04:17.997Z
2020-04-24T00:00:00.000Z,12626,10480,248,2020-09-08T07:04:17.997Z
2020-04-25T00:00:00.000Z,9077,7358,159,2020-09-08T07:04:17.997Z
2020-04-26T00:00:00.000Z,8463,7345,83,2020-09-08T07:04:17.997Z
2020-04-27T00:00:00.000Z,11404,9298,127,2020-09-08T07:04:17.997Z
2020-04-28T00:00:00.000Z,10641,8820,160,2020-09-08T07:04:17.997Z
2020-04-29T00:00:00.000Z,8997,7395,82,2020-09-08T07:04:17.997Z
2020-04-30T00:00:00.000Z,9930,8598,142,2020-09-08T07:04:17.997Z
2020-05-01T00:00:00.000Z,11052,9223,117,2020-09-08T07:04:17.997Z
2020-05-02T00:00:00.000Z,5568,4765,57,2020-09-08T07:04:17.997Z
2020-05-03T00:00:00.000Z,8029,7403,27,2020-09-08T07:04:17.997Z
2020-05-04T00:00:00.000Z,9257,7957,53,2020-09-08T07:04:17.997Z
2020-05-05T00:00:00.000Z,8957,7691,32,2020-09-08T07:04:17.997Z
2020-05-06T00:00:00.000Z,9467,8551,65,2020-09-08T07:04:17.997Z
2020-05-07T00:00:00.000Z,10119,9137,61,2020-09-08T07:04:17.997Z
2020-05-08T00:00:00.000Z,8156,7191,33,2020-09-08T07:04:17.997Z
2020-05-09T00:00:00.000Z,3868,3509,19,2020-09-08T07:04:17.997Z
2020-05-10T00:00:00.000Z,4944,4412,29,2020-09-08T07:04:17.997Z
2020-05-11T00:00:00.000Z,9217,7835,39,2020-09-08T07:04:17.997Z
2020-05-12T00:00:00.000Z,7538,6681,23,2020-09-08T07:04:17.997Z
2020-05-13T00:00:00.000Z,8272,7528,37,2020-09-08T07:04:17.997Z
2020-05-14T00:00:00.000Z,8416,7681,24,2020-09-08T07:04:17.997Z
2020-05-15T00:00:00.000Z,5696,5075,12,2020-09-08T07:04:17.997Z
2020-05-16T00:00:00.000Z,1502,1343,5,2020-09-08T07:04:17.997Z
2020-05-17T00:00:00.000Z,4633,4219,15,2020-09-08T07:04:17.997Z
2020-05-18T00:00:00.000Z,7692,6798,27,2020-09-08T07:04:17.997Z
2020-05-19T00:00:00.000Z,7141,6501,22,2020-09-08T07:04:17.997Z
2020-05-20T00:00:00.000Z,5967,5623,15,2020-09-08T07:04:17.997Z
2020-05-21T00:00:00.000Z,6164,5605,16,2020-09-08T07:04:17.997Z
2020-05-22T00:00:00.000Z,4996,4618,20,2020-09-08T07:04:17.997Z
2020-05-23T00:00:00.000Z,717,670,4,2020-09-08T07:04:17.997Z
2020-05-24T00:00:00.000Z,3807,3441,13,2020-09-08T07:04:17.997Z
2020-05-25T00:00:00.000Z,5334,4853,22,2020-09-08T07:04:17.997Z
2020-05-26T00:00:00.000Z,6818,6514,50,2020-09-08T07:04:17.997Z
2020-05-27T00:00:00.000Z,6728,6444,40,2020-09-08T07:04:17.997Z
2020-05-28T00:00:00.000Z,5352,5031,77,2020-09-08T07:04:17.997Z
2020-05-29T00:00:00.000Z,1863,1805,113,2020-09-08T07:04:17.997Z
2020-05-30T00:00:00.000Z,1059,1042,29,2020-09-08T07:04:17.997Z
2020-05-31T00:00:00.000Z,5640,5501,87,2020-09-08T07:04:17.997Z
2020-06-01T00:00:00.000Z,8156,7912,100,2020-09-08T07:04:17.997Z
2020-06-02T00:00:00.000Z,11757,11580,121,2020-09-08T07:04:17.997Z
2020-06-03T00:00:00.000Z,13210,13049,97,2020-09-08T07:04:17.997Z
2020-06-04T00:00:00.000Z,14897,14727,141,2020-09-08T07:04:17.997Z
2020-06-05T00:00:00.000Z,16472,16355,124,2020-09-08T07:04:17.997Z
2020-06-06T00:00:00.000Z,11537,11443,78,2020-09-08T07:04:17.997Z
2020-06-07T00:00:00.000Z,15098,14896,140,2020-09-08T07:04:17.997Z
2020-06-08T00:00:00.000Z,14644,14490,179,2020-09-08T07:04:17.997Z
2020-06-09T00:00:00.000Z,15065,14874,172,2020-09-08T07:04:17.997Z
2020-06-10T00:00:00.000Z,18466,18156,239,2020-09-08T07:04:17.997Z
2020-06-11T00:00:00.000Z,15807,15577,191,2020-09-08T07:04:17.997Z
2020-06-12T00:00:00.000Z,13132,12880,183,2020-09-08T07:04:17.997Z
2020-06-13T00:00:00.000Z,6987,6852,150,2020-09-08T07:04:17.997Z
2020-06-14T00:00:00.000Z,8838,8644,136,2020-09-08T07:04:17.997Z
2020-06-15T00:00:00.000Z,14372,14057,198,2020-09-08T07:04:17.997Z
2020-06-16T00:00:00.000Z,16239,15930,298,2020-09-08T07:04:17.997Z
2020-06-17T00:00:00.000Z,16022,15639,270,2020-09-08T07:04:17.997Z
2020-06-18T00:00:00.000Z,17390,16939,302,2020-09-08T07:04:17.997Z
2020-06-19T00:00:00.000Z,12784,12452,308,2020-09-08T07:04:17.997Z
2020-06-20T00:00:00.000Z,6009,5783,157,2020-09-08T07:04:17.997Z
2020-06-21T00:00:00.000Z,9150,8911,172,2020-09-08T07:04:17.997Z
2020-06-22T00:00:00.000Z,14009,13468,346,2020-09-08T07:04:17.997Z
2020-06-23T00:00:00.000Z,19846,19166,448,2020-09-08T07:04:17.997Z
2020-06-24T00:00:00.000Z,18393,17873,485,2020-09-08T07:04:17.997Z
2020-06-25T00:00:00.000Z,18662,17981,513,2020-09-08T07:04:17.997Z
2020-06-26T00:00:00.000Z,16526,16118,464,2020-09-08T07:04:17.997Z
2020-06-27T00:00:00.000Z,10490,10056,401,2020-09-08T07:04:17.997Z
2020-06-28T00:00:00.000Z,10389,9897,381,2020-09-08T07:04:17.997Z
2020-06-29T00:00:00.000Z,21016,20260,752,2020-09-08T07:04:17.997Z
2020-06-30T00:00:00.000Z,20838,20149,780,2020-09-08T07:04:17.997Z
2020-07-01T00:00:00.000Z,21460,20841,968,2020-09-08T07:04:17.997Z
2020-07-02T00:00:00.000Z,25039,24268,1144,2020-09-08T07:04:17.997Z
2020-07-03T00:00:00.000Z,20953,20469,946,2020-09-08T07:04:17.997Z
2020-07-04T00:00:00.000Z,17306,16700,821,2020-09-08T07:04:17.997Z
2020-07-05T00:00:00.000Z,21109,20280,839,2020-09-08T07:04:17.997Z
2020-07-06T00:00:00.000Z,25599,24756,1138,2020-09-08T07:04:17.997Z
2020-07-07T00:00:00.000Z,28593,27668,1385,2020-09-08T07:04:17.997Z
2020-07-08T00:00:00.000Z,29386,28566,1323,2020-09-08T07:04:17.997Z
2020-07-09T00:00:00.000Z,30045,28964,1522,2020-09-08T07:04:17.997Z
2020-07-10T00:00:00.000Z,25863,24805,1412,2020-09-08T07:04:17.997Z
2020-07-11T00:00:00.000Z,20469,19250,1162,2020-09-08T07:04:17.997Z
2020-07-12T00:00:00.000Z,21760,20302,1246,2020-09-08T07:04:17.997Z
2020-07-13T00:00:00.000Z,29285,27519,1714,2020-09-08T07:04:17.997Z
2020-07-14T00:00:00.000Z,31749,29987,1602,2020-09-08T07:04:17.997Z
2020-07-15T00:00:00.000Z,30690,27921,1878,2020-09-08T07:04:17.997Z
2020-07-16T00:00:00.000Z,31073,28455,1931,2020-09-08T07:04:17.997Z
2020-07-17T00:00:00.000Z,25716,23565,1602,2020-09-08T07:04:17.997Z
2020-07-18T00:00:00.000Z,20468,18228,1442,2020-09-08T07:04:17.997Z
2020-07-19T00:00:00.000Z,19851,17823,1016,2020-09-08T07:04:17.997Z
2020-07-20T00:00:00.000Z,27601,24490,1895,2020-09-08T07:04:17.997Z
2020-07-21T00:00:00.000Z,30169,26769,2002,2020-09-08T07:04:17.997Z
2020-07-22T00:00:00.000Z,28815,25730,2042,2020-09-08T07:04:17.997Z
2020-07-23T00:00:00.000Z,32537,29292,1986,2020-09-08T07:04:17.997Z
2020-07-24T00:00:00.000Z,24404,22704,1832,2020-09-08T07:04:17.997Z
2020-07-25T00:00:00.000Z,15466,14626,1113,2020-09-08T07:04:17.997Z
2020-07-26T00:00:00.000Z,12190,11417,1043,2020-09-08T07:04:17.997Z
2020-07-27T00:00:00.000Z,28212,27215,2055,2020-09-08T07:04:17.997Z
2020-07-28T00:00:00.000Z,26661,25799,2129,2020-09-08T07:04:17.997Z
2020-07-29T00:00:00.000Z,26225,25459,1962,2020-09-08T07:04:17.997Z
2020-07-30T00:00:00.000Z,21964,21230,1790,2020-09-08T07:04:17.997Z
2020-07-31T00:00:00.000Z,22897,22145,1355,2020-09-08T07:04:17.997Z
2020-08-01T00:00:00.000Z,7781,7452,628,2020-09-08T07:04:17.997Z
2020-08-02T00:00:00.000Z,9997,9531,713,2020-09-08T07:04:17.997Z
2020-08-03T00:00:00.000Z,23584,22669,1804,2020-09-08T07:04:17.997Z
2020-08-04T00:00:00.000Z,26093,25092,1725,2020-09-08T07:04:17.997Z
2020-08-05T00:00:00.000Z,25793,24905,1691,2020-09-08T07:04:17.997Z
2020-08-06T00:00:00.000Z,28802,27878,1677,2020-09-08T07:04:17.997Z
2020-08-07T00:00:00.000Z,25293,24520,1752,2020-09-08T07:04:17.997Z
2020-08-08T00:00:00.000Z,8598,8155,762,2020-09-08T07:04:17.997Z
2020-08-09T00:00:00.000Z,12151,11535,923,2020-09-08T07:04:17.997Z
2020-08-10T00:00:00.000Z,24367,23381,1695,2020-09-08T07:04:17.997Z
2020-08-11T00:00:00.000Z,27650,26564,1819,2020-09-08T07:04:17.997Z
2020-08-12T00:00:00.000Z,26260,25318,1621,2020-09-08T07:04:17.997Z
2020-08-13T00:00:00.000Z,28905,27834,1643,2020-09-08T07:04:17.997Z
2020-08-14T00:00:00.000Z,20908,20080,1393,2020-09-08T07:04:17.997Z
2020-08-15T00:00:00.000Z,9410,8879,775,2020-09-08T07:04:17.997Z
2020-08-16T00:00:00.000Z,12368,11623,1046,2020-09-08T07:04:17.997Z
2020-08-17T00:00:00.000Z,26042,24885,1655,2020-09-08T07:04:17.997Z
2020-08-18T00:00:00.000Z,27918,26803,1648,2020-09-08T07:04:17.997Z
2020-08-19T00:00:00.000Z,28401,27240,1645,2020-09-08T07:04:17.997Z
2020-08-20T00:00:00.000Z,28876,27873,1497,2020-09-08T07:04:17.997Z
2020-08-21T00:00:00.000Z,27211,26363,1487,2020-09-08T07:04:17.997Z
2020-08-22T00:00:00.000Z,11054,10518,719,2020-09-08T07:04:17.997Z
2020-08-23T00:00:00.000Z,13326,12641,968,2020-09-08T07:04:17.997Z
2020-08-24T00:00:00.000Z,30121,28786,1897,2020-09-08T07:04:17.997Z
2020-08-25T00:00:00.000Z,34052,32831,1960,2020-09-08T07:04:17.997Z
2020-08-26T00:00:00.000Z,34286,33115,1948,2020-09-08T07:04:17.997Z
2020-08-27T00:00:00.000Z,36423,35204,2069,2020-09-08T07:04:17.997Z
2020-08-28T00:00:00.000Z,23283,22352,1834,2020-09-08T07:04:17.997Z
2020-08-29T00:00:00.000Z,10688,10168,906,2020-09-08T07:04:17.997Z
2020-08-30T00:00:00.000Z,13589,12953,1112,2020-09-08T07:04:17.997Z
2020-08-31T00:00:00.000Z,31911,30616,2196,2020-09-08T07:04:17.997Z
2020-09-01T00:00:00.000Z,28403,27474,2248,2020-09-08T07:04:17.997Z
2020-09-02T00:00:00.000Z,35882,34504,3173,2020-09-08T07:04:17.997Z
2020-09-03T00:00:00.000Z,35360,34128,2685,2020-09-08T07:04:17.997Z
2020-09-04T00:00:00.000Z,31601,30802,2617,2020-09-08T07:04:17.997Z
2020-09-05T00:00:00.000Z,15965,15331,1492,2020-09-08T07:04:17.997Z
2020-09-06T00:00:00.000Z,19652,18709,2198,2020-09-08T07:04:17.997Z
2020-09-07T00:00:00.000Z,40456,39052,3425,2020-09-08T07:04:17.997Z
2020-09-08T00:00:00.000Z,10003,9777,521,2020-09-08T07:04:17.997Z
