section,male,female,lastUpdate,date
0,0,0,2020-10-20T04:50:00.180Z,2020-10-20T04:50:00.180Z
10,1,0,2020-10-20T04:50:00.180Z,2020-10-20T04:50:00.180Z
20,1,1,2020-10-20T04:50:00.180Z,2020-10-20T04:50:00.180Z
30,1,0,2020-10-20T04:50:00.180Z,2020-10-20T04:50:00.180Z
40,13,1,2020-10-20T04:50:00.180Z,2020-10-20T04:50:00.180Z
50,32,9,2020-10-20T04:50:00.180Z,2020-10-20T04:50:00.180Z
60,59,16,2020-10-20T04:50:00.180Z,2020-10-20T04:50:00.180Z
70,46,24,2020-10-20T04:50:00.180Z,2020-10-20T04:50:00.180Z
80,15,10,2020-10-20T04:50:00.180Z,2020-10-20T04:50:00.180Z
90,1,1,2020-10-20T04:50:00.180Z,2020-10-20T04:50:00.180Z
