total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3440,1172,224,166,439,299,2021-02-26T07:04:53.997Z
100,34,19,14,37,26,2021-02-26T07:04:53.997Z
