section,male,female,lastUpdate,date
0,,1,2020-11-21T18:59:51.093Z,2020-11-21T18:59:51.093Z
10,1.0,2,2020-11-21T18:59:51.093Z,2020-11-21T18:59:51.093Z
20,1.0,4,2020-11-21T18:59:51.093Z,2020-11-21T18:59:51.093Z
30,11.0,6,2020-11-21T18:59:51.093Z,2020-11-21T18:59:51.093Z
40,20.0,10,2020-11-21T18:59:51.093Z,2020-11-21T18:59:51.093Z
50,92.0,50,2020-11-21T18:59:51.093Z,2020-11-21T18:59:51.093Z
60,246.0,104,2020-11-21T18:59:51.093Z,2020-11-21T18:59:51.093Z
70,452.0,224,2020-11-21T18:59:51.093Z,2020-11-21T18:59:51.093Z
80,520.0,427,2020-11-21T18:59:51.093Z,2020-11-21T18:59:51.093Z
90,232.0,353,2020-11-21T18:59:51.093Z,2020-11-21T18:59:51.093Z
