name,amount,lastUpdate,date
hard,486,2020-09-11T14:29:56.553Z,2020-09-11T14:29:56.553Z
moderate,196,2020-09-11T14:29:56.553Z,2020-09-11T14:29:56.553Z
name,amount,lastUpdate,date
hard,486,2020-09-11T14:29:56.553Z,2020-09-11T14:29:56.553Z
moderate,196,2020-09-11T14:29:56.553Z,2020-09-11T14:29:56.553Z
