date,amount,lastUpdate
2020-04-28T00:00:00.000Z,570,2021-02-22T07:19:44.173Z
2020-04-29T00:00:00.000Z,359,2021-02-22T07:19:44.173Z
2020-04-30T00:00:00.000Z,435,2021-02-22T07:19:44.173Z
2020-05-01T00:00:00.000Z,422,2021-02-22T07:19:44.173Z
2020-05-02T00:00:00.000Z,296,2021-02-22T07:19:44.173Z
2020-05-03T00:00:00.000Z,302,2021-02-22T07:19:44.173Z
2020-05-04T00:00:00.000Z,262,2021-02-22T07:19:44.173Z
2020-05-05T00:00:00.000Z,320,2021-02-22T07:19:44.173Z
2020-05-06T00:00:00.000Z,263,2021-02-22T07:19:44.173Z
2020-05-07T00:00:00.000Z,235,2021-02-22T07:19:44.173Z
2020-05-08T00:00:00.000Z,229,2021-02-22T07:19:44.173Z
2020-05-09T00:00:00.000Z,89,2021-02-22T07:19:44.173Z
2020-05-10T00:00:00.000Z,173,2021-02-22T07:19:44.173Z
2020-05-11T00:00:00.000Z,337,2021-02-22T07:19:44.173Z
2020-05-12T00:00:00.000Z,262,2021-02-22T07:19:44.173Z
2020-05-13T00:00:00.000Z,183,2021-02-22T07:19:44.173Z
2020-05-14T00:00:00.000Z,244,2021-02-22T07:19:44.173Z
2020-05-15T00:00:00.000Z,163,2021-02-22T07:19:44.173Z
2020-05-16T00:00:00.000Z,104,2021-02-22T07:19:44.173Z
2020-05-17T00:00:00.000Z,154,2021-02-22T07:19:44.173Z
2020-05-18T00:00:00.000Z,280,2021-02-22T07:19:44.173Z
2020-05-19T00:00:00.000Z,156,2021-02-22T07:19:44.173Z
2020-05-20T00:00:00.000Z,117,2021-02-22T07:19:44.173Z
2020-05-21T00:00:00.000Z,131,2021-02-22T07:19:44.173Z
2020-05-22T00:00:00.000Z,164,2021-02-22T07:19:44.173Z
2020-05-23T00:00:00.000Z,46,2021-02-22T07:19:44.173Z
2020-05-24T00:00:00.000Z,117,2021-02-22T07:19:44.173Z
2020-05-25T00:00:00.000Z,132,2021-02-22T07:19:44.173Z
2020-05-26T00:00:00.000Z,93,2021-02-22T07:19:44.173Z
2020-05-27T00:00:00.000Z,63,2021-02-22T07:19:44.173Z
2020-05-28T00:00:00.000Z,116,2021-02-22T07:19:44.173Z
2020-05-29T00:00:00.000Z,39,2021-02-22T07:19:44.173Z
2020-05-30T00:00:00.000Z,40,2021-02-22T07:19:44.173Z
2020-05-31T00:00:00.000Z,62,2021-02-22T07:19:44.173Z
2020-06-01T00:00:00.000Z,70,2021-02-22T07:19:44.173Z
2020-06-02T00:00:00.000Z,54,2021-02-22T07:19:44.173Z
2020-06-03T00:00:00.000Z,28,2021-02-22T07:19:44.173Z
2020-06-04T00:00:00.000Z,41,2021-02-22T07:19:44.173Z
2020-06-05T00:00:00.000Z,37,2021-02-22T07:19:44.173Z
2020-06-06T00:00:00.000Z,24,2021-02-22T07:19:44.173Z
2020-06-07T00:00:00.000Z,43,2021-02-22T07:19:44.173Z
2020-06-08T00:00:00.000Z,42,2021-02-22T07:19:44.173Z
2020-06-09T00:00:00.000Z,46,2021-02-22T07:19:44.173Z
2020-06-10T00:00:00.000Z,52,2021-02-22T07:19:44.173Z
2020-06-11T00:00:00.000Z,56,2021-02-22T07:19:44.173Z
2020-06-12T00:00:00.000Z,55,2021-02-22T07:19:44.173Z
2020-06-13T00:00:00.000Z,41,2021-02-22T07:19:44.173Z
2020-06-14T00:00:00.000Z,49,2021-02-22T07:19:44.173Z
2020-06-15T00:00:00.000Z,90,2021-02-22T07:19:44.173Z
2020-06-16T00:00:00.000Z,53,2021-02-22T07:19:44.173Z
2020-06-17T00:00:00.000Z,47,2021-02-22T07:19:44.173Z
