total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3445,1310,247,197,511,327,2021-02-22T07:19:44.173Z
100,38,19,15,39,25,2021-02-22T07:19:44.173Z
