name,coronaOccupancy,normalOccupancy,isolatedTeam,lastUpdate,date
שיבא,,,105,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
יוספטל,,,9,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
שמיר,,69.5847396850586,77,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
וולפסון,,69.69253540039062,26,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
זיו צפת,,73.19884490966797,47,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
הלל יפה,,85.82524108886719,42,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
נהריה,,76.76348876953125,29,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
ברזילי,,77.5,49,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
פוריה,,63.94366073608398,37,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
סוראסקי,,103.7574691772461,126,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
בני ציון,,83.60276794433594,52,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
רבין ק. בילינסון,,,193,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
סורוקה,,,92,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
מאיר,,,106,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
קפלן,,,63,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
"רמב""ם",,87.62886810302734,122,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
הכרמל,,,81,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
השרון ק. גולדה,,,51,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
הדסה עין כרם,,,191,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
הסקוטי,,117.2932357788086,26,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
סנט וינסנט,,50.0,7,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
המשפחה הקדושה,,,0,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
סנט ג'וזף,,,6,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
שערי צדק,,104.6683044433594,254,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
אל מקאסד,,,0,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
לניאדו,,89.13648986816406,95,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
אוגוסטה ויקטוריה,,,3,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
מעייני הישועה,,99.0506362915039,48,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
אסותא אשדוד,,,11,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
שניידר,,,0,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
המרכזי בעמק,,,108,2021-01-18T18:34:56.827Z,2021-01-18T18:34:56.827Z
