dates,averages,lastUpdate
"{'begin_date': '17.1.21', 'end_date': '23.1.21'}",7122,2021-02-07T03:48:16.773Z
"{'begin_date': '24.1.21', 'end_date': '30.1.21'}",6535,2021-02-07T03:48:16.773Z
"{'begin_date': '31.1.21', 'end_date': '6.2.21'}",6527,2021-02-07T03:48:16.773Z
"{'begin_date': '7.2.21', 'end_date': '7.2.21'}",565,2021-02-07T03:48:16.773Z
