dates,averages,lastUpdate
"{'begin_date': '24.1.21', 'end_date': '30.1.21'}",6537,2021-02-15T07:19:51.583Z
"{'begin_date': '31.1.21', 'end_date': '6.2.21'}",6582,2021-02-15T07:19:51.583Z
"{'begin_date': '7.2.21', 'end_date': '13.2.21'}",5106,2021-02-15T07:19:51.583Z
"{'begin_date': '14.2.21', 'end_date': '14.2.21'}",3446,2021-02-15T07:19:51.583Z
