dates,averages,lastUpdate
"{'begin_date': '24.1.21', 'end_date': '30.1.21'}",6538,2021-02-16T20:03:32.033Z
"{'begin_date': '31.1.21', 'end_date': '6.2.21'}",6582,2021-02-16T20:03:32.033Z
"{'begin_date': '7.2.21', 'end_date': '13.2.21'}",5114,2021-02-16T20:03:32.033Z
"{'begin_date': '14.2.21', 'end_date': '15.2.21'}",4310,2021-02-16T20:03:32.033Z
