total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2208,1769,344,241,753,407,2021-01-27T15:47:33.793Z
100,80,19,14,43,23,2021-01-27T15:47:33.793Z
