name,amount,lastUpdate,date
hard,284,2020-12-02T16:26:53.177Z,2020-12-02T16:26:53.177Z
moderate,96,2020-12-02T16:26:53.177Z,2020-12-02T16:26:53.177Z
critical,92,2020-12-02T16:26:53.177Z,2020-12-02T16:26:53.177Z
name,amount,lastUpdate,date
hard,284,2020-12-02T16:26:53.177Z,2020-12-02T16:26:53.177Z
moderate,96,2020-12-02T16:26:53.177Z,2020-12-02T16:26:53.177Z
critical,92,2020-12-02T16:26:53.177Z,2020-12-02T16:26:53.177Z
