date,amount,lastUpdate
,52,2021-03-21T12:31:44.520Z
2020-02-12T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-02-13T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-02-14T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-02-15T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-02-16T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-02-17T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-02-18T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-02-19T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-02-20T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-02-21T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-02-22T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-02-23T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-02-24T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-02-25T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-02-26T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-02-27T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-02-28T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-02-29T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-03-01T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-03-02T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-03-03T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-03-04T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-03-05T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-03-06T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-03-07T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-03-08T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-03-09T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-03-10T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-03-11T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-03-12T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-03-13T00:00:00.000Z,1,2021-03-21T12:31:44.520Z
2020-03-14T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-03-15T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-03-16T00:00:00.000Z,0,2021-03-21T12:31:44.520Z
2020-03-17T00:00:00.000Z,2,2021-03-21T12:31:44.520Z
2020-03-18T00:00:00.000Z,2,2021-03-21T12:31:44.520Z
2020-03-19T00:00:00.000Z,4,2021-03-21T12:31:44.520Z
2020-03-20T00:00:00.000Z,1,2021-03-21T12:31:44.520Z
2020-03-21T00:00:00.000Z,1,2021-03-21T12:31:44.520Z
2020-03-22T00:00:00.000Z,4,2021-03-21T12:31:44.520Z
2020-03-23T00:00:00.000Z,6,2021-03-21T12:31:44.520Z
2020-03-24T00:00:00.000Z,5,2021-03-21T12:31:44.520Z
2020-03-25T00:00:00.000Z,6,2021-03-21T12:31:44.520Z
2020-03-26T00:00:00.000Z,10,2021-03-21T12:31:44.520Z
2020-03-27T00:00:00.000Z,18,2021-03-21T12:31:44.520Z
2020-03-28T00:00:00.000Z,9,2021-03-21T12:31:44.520Z
2020-03-29T00:00:00.000Z,15,2021-03-21T12:31:44.520Z
2020-03-30T00:00:00.000Z,33,2021-03-21T12:31:44.520Z
2020-03-31T00:00:00.000Z,43,2021-03-21T12:31:44.520Z
2020-04-01T00:00:00.000Z,33,2021-03-21T12:31:44.520Z
2020-04-02T00:00:00.000Z,83,2021-03-21T12:31:44.520Z
2020-04-03T00:00:00.000Z,56,2021-03-21T12:31:44.520Z
2020-04-04T00:00:00.000Z,54,2021-03-21T12:31:44.520Z
2020-04-05T00:00:00.000Z,103,2021-03-21T12:31:44.520Z
2020-04-06T00:00:00.000Z,120,2021-03-21T12:31:44.520Z
2020-04-07T00:00:00.000Z,122,2021-03-21T12:31:44.520Z
2020-04-08T00:00:00.000Z,108,2021-03-21T12:31:44.520Z
2020-04-09T00:00:00.000Z,114,2021-03-21T12:31:44.520Z
2020-04-10T00:00:00.000Z,130,2021-03-21T12:31:44.520Z
2020-04-11T00:00:00.000Z,123,2021-03-21T12:31:44.520Z
2020-04-12T00:00:00.000Z,260,2021-03-21T12:31:44.520Z
2020-04-13T00:00:00.000Z,284,2021-03-21T12:31:44.520Z
2020-04-14T00:00:00.000Z,296,2021-03-21T12:31:44.520Z
2020-04-15T00:00:00.000Z,281,2021-03-21T12:31:44.520Z
2020-04-16T00:00:00.000Z,328,2021-03-21T12:31:44.520Z
2020-04-17T00:00:00.000Z,358,2021-03-21T12:31:44.520Z
2020-04-18T00:00:00.000Z,247,2021-03-21T12:31:44.520Z
2020-04-19T00:00:00.000Z,386,2021-03-21T12:31:44.520Z
2020-04-20T00:00:00.000Z,452,2021-03-21T12:31:44.520Z
2020-04-21T00:00:00.000Z,376,2021-03-21T12:31:44.520Z
2020-04-22T00:00:00.000Z,393,2021-03-21T12:31:44.520Z
2020-04-23T00:00:00.000Z,336,2021-03-21T12:31:44.520Z
2020-04-24T00:00:00.000Z,340,2021-03-21T12:31:44.520Z
2020-04-25T00:00:00.000Z,379,2021-03-21T12:31:44.520Z
2020-04-26T00:00:00.000Z,435,2021-03-21T12:31:44.520Z
2020-04-27T00:00:00.000Z,470,2021-03-21T12:31:44.520Z
2020-04-28T00:00:00.000Z,561,2021-03-21T12:31:44.520Z
2020-04-29T00:00:00.000Z,354,2021-03-21T12:31:44.520Z
2020-04-30T00:00:00.000Z,429,2021-03-21T12:31:44.520Z
2020-05-01T00:00:00.000Z,420,2021-03-21T12:31:44.520Z
2020-05-02T00:00:00.000Z,284,2021-03-21T12:31:44.520Z
2020-05-03T00:00:00.000Z,297,2021-03-21T12:31:44.520Z
2020-05-04T00:00:00.000Z,260,2021-03-21T12:31:44.520Z
2020-05-05T00:00:00.000Z,317,2021-03-21T12:31:44.520Z
2020-05-06T00:00:00.000Z,260,2021-03-21T12:31:44.520Z
2020-05-07T00:00:00.000Z,231,2021-03-21T12:31:44.520Z
2020-05-08T00:00:00.000Z,229,2021-03-21T12:31:44.520Z
2020-05-09T00:00:00.000Z,89,2021-03-21T12:31:44.520Z
2020-05-10T00:00:00.000Z,171,2021-03-21T12:31:44.520Z
2020-05-11T00:00:00.000Z,335,2021-03-21T12:31:44.520Z
2020-05-12T00:00:00.000Z,260,2021-03-21T12:31:44.520Z
2020-05-13T00:00:00.000Z,184,2021-03-21T12:31:44.520Z
2020-05-14T00:00:00.000Z,244,2021-03-21T12:31:44.520Z
2020-05-15T00:00:00.000Z,162,2021-03-21T12:31:44.520Z
2020-05-16T00:00:00.000Z,104,2021-03-21T12:31:44.520Z
2020-05-17T00:00:00.000Z,153,2021-03-21T12:31:44.520Z
2020-05-18T00:00:00.000Z,278,2021-03-21T12:31:44.520Z
2020-05-19T00:00:00.000Z,155,2021-03-21T12:31:44.520Z
2020-05-20T00:00:00.000Z,115,2021-03-21T12:31:44.520Z
2020-05-21T00:00:00.000Z,127,2021-03-21T12:31:44.520Z
