section,male,female,lastUpdate,date
0,,1,2020-11-22T07:06:07.150Z,2020-11-22T07:06:07.150Z
10,1.0,2,2020-11-22T07:06:07.150Z,2020-11-22T07:06:07.150Z
20,1.0,4,2020-11-22T07:06:07.150Z,2020-11-22T07:06:07.150Z
30,11.0,6,2020-11-22T07:06:07.150Z,2020-11-22T07:06:07.150Z
40,20.0,10,2020-11-22T07:06:07.150Z,2020-11-22T07:06:07.150Z
50,92.0,50,2020-11-22T07:06:07.150Z,2020-11-22T07:06:07.150Z
60,246.0,104,2020-11-22T07:06:07.150Z,2020-11-22T07:06:07.150Z
70,452.0,224,2020-11-22T07:06:07.150Z,2020-11-22T07:06:07.150Z
80,520.0,427,2020-11-22T07:06:07.150Z,2020-11-22T07:06:07.150Z
90,232.0,353,2020-11-22T07:06:07.150Z,2020-11-22T07:06:07.150Z
