total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3321,1172,240,180,470,247,2021-03-03T14:36:55.967Z
100,35,20,15,40,21,2021-03-03T14:36:55.967Z
