total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3440,1280,252,186,485,313,2021-02-23T07:02:23.103Z
100,37,20,15,38,24,2021-02-23T07:02:23.103Z
