section,male,female,lastUpdate,date
0,42861,40461,2021-02-02T16:21:39.187Z,2021-02-02T16:21:39.187Z
10,74035,64072,2021-02-02T16:21:39.187Z,2021-02-02T16:21:39.187Z
20,61742,62218,2021-02-02T16:21:39.187Z,2021-02-02T16:21:39.187Z
30,44295,46610,2021-02-02T16:21:39.187Z,2021-02-02T16:21:39.187Z
40,38148,41913,2021-02-02T16:21:39.187Z,2021-02-02T16:21:39.187Z
50,29210,31014,2021-02-02T16:21:39.187Z,2021-02-02T16:21:39.187Z
60,20708,19650,2021-02-02T16:21:39.187Z,2021-02-02T16:21:39.187Z
70,10280,10030,2021-02-02T16:21:39.187Z,2021-02-02T16:21:39.187Z
80,4505,6087,2021-02-02T16:21:39.187Z,2021-02-02T16:21:39.187Z
90,1198,2555,2021-02-02T16:21:39.187Z,2021-02-02T16:21:39.187Z
