amount,lastUpdate
0,2020-11-17T19:35:28.310Z
0,2020-11-17T19:35:28.310Z
0,2020-11-17T19:35:28.310Z
1,2020-11-17T19:35:28.310Z
2,2020-11-17T19:35:28.310Z
3,2020-11-17T19:35:28.310Z
5,2020-11-17T19:35:28.310Z
5,2020-11-17T19:35:28.310Z
6,2020-11-17T19:35:28.310Z
7,2020-11-17T19:35:28.310Z
7,2020-11-17T19:35:28.310Z
7,2020-11-17T19:35:28.310Z
6,2020-11-17T19:35:28.310Z
9,2020-11-17T19:35:28.310Z
11,2020-11-17T19:35:28.310Z
12,2020-11-17T19:35:28.310Z
16,2020-11-17T19:35:28.310Z
21,2020-11-17T19:35:28.310Z
23,2020-11-17T19:35:28.310Z
27,2020-11-17T19:35:28.310Z
38,2020-11-17T19:35:28.310Z
44,2020-11-17T19:35:28.310Z
48,2020-11-17T19:35:28.310Z
52,2020-11-17T19:35:28.310Z
56,2020-11-17T19:35:28.310Z
66,2020-11-17T19:35:28.310Z
70,2020-11-17T19:35:28.310Z
80,2020-11-17T19:35:28.310Z
90,2020-11-17T19:35:28.310Z
99,2020-11-17T19:35:28.310Z
111,2020-11-17T19:35:28.310Z
113,2020-11-17T19:35:28.310Z
131,2020-11-17T19:35:28.310Z
140,2020-11-17T19:35:28.310Z
135,2020-11-17T19:35:28.310Z
147,2020-11-17T19:35:28.310Z
160,2020-11-17T19:35:28.310Z
166,2020-11-17T19:35:28.310Z
166,2020-11-17T19:35:28.310Z
170,2020-11-17T19:35:28.310Z
182,2020-11-17T19:35:28.310Z
177,2020-11-17T19:35:28.310Z
192,2020-11-17T19:35:28.310Z
178,2020-11-17T19:35:28.310Z
179,2020-11-17T19:35:28.310Z
181,2020-11-17T19:35:28.310Z
165,2020-11-17T19:35:28.310Z
174,2020-11-17T19:35:28.310Z
157,2020-11-17T19:35:28.310Z
154,2020-11-17T19:35:28.310Z
145,2020-11-17T19:35:28.310Z
149,2020-11-17T19:35:28.310Z
146,2020-11-17T19:35:28.310Z
144,2020-11-17T19:35:28.310Z
136,2020-11-17T19:35:28.310Z
142,2020-11-17T19:35:28.310Z
132,2020-11-17T19:35:28.310Z
127,2020-11-17T19:35:28.310Z
122,2020-11-17T19:35:28.310Z
112,2020-11-17T19:35:28.310Z
109,2020-11-17T19:35:28.310Z
111,2020-11-17T19:35:28.310Z
101,2020-11-17T19:35:28.310Z
97,2020-11-17T19:35:28.310Z
91,2020-11-17T19:35:28.310Z
88,2020-11-17T19:35:28.310Z
84,2020-11-17T19:35:28.310Z
78,2020-11-17T19:35:28.310Z
78,2020-11-17T19:35:28.310Z
74,2020-11-17T19:35:28.310Z
69,2020-11-17T19:35:28.310Z
65,2020-11-17T19:35:28.310Z
61,2020-11-17T19:35:28.310Z
61,2020-11-17T19:35:28.310Z
61,2020-11-17T19:35:28.310Z
60,2020-11-17T19:35:28.310Z
55,2020-11-17T19:35:28.310Z
52,2020-11-17T19:35:28.310Z
51,2020-11-17T19:35:28.310Z
46,2020-11-17T19:35:28.310Z
47,2020-11-17T19:35:28.310Z
46,2020-11-17T19:35:28.310Z
46,2020-11-17T19:35:28.310Z
43,2020-11-17T19:35:28.310Z
41,2020-11-17T19:35:28.310Z
36,2020-11-17T19:35:28.310Z
40,2020-11-17T19:35:28.310Z
36,2020-11-17T19:35:28.310Z
39,2020-11-17T19:35:28.310Z
35,2020-11-17T19:35:28.310Z
35,2020-11-17T19:35:28.310Z
32,2020-11-17T19:35:28.310Z
29,2020-11-17T19:35:28.310Z
28,2020-11-17T19:35:28.310Z
30,2020-11-17T19:35:28.310Z
29,2020-11-17T19:35:28.310Z
29,2020-11-17T19:35:28.310Z
29,2020-11-17T19:35:28.310Z
30,2020-11-17T19:35:28.310Z
31,2020-11-17T19:35:28.310Z
32,2020-11-17T19:35:28.310Z
35,2020-11-17T19:35:28.310Z
35,2020-11-17T19:35:28.310Z
35,2020-11-17T19:35:28.310Z
31,2020-11-17T19:35:28.310Z
36,2020-11-17T19:35:28.310Z
38,2020-11-17T19:35:28.310Z
36,2020-11-17T19:35:28.310Z
40,2020-11-17T19:35:28.310Z
39,2020-11-17T19:35:28.310Z
41,2020-11-17T19:35:28.310Z
45,2020-11-17T19:35:28.310Z
43,2020-11-17T19:35:28.310Z
40,2020-11-17T19:35:28.310Z
45,2020-11-17T19:35:28.310Z
44,2020-11-17T19:35:28.310Z
45,2020-11-17T19:35:28.310Z
40,2020-11-17T19:35:28.310Z
39,2020-11-17T19:35:28.310Z
44,2020-11-17T19:35:28.310Z
56,2020-11-17T19:35:28.310Z
59,2020-11-17T19:35:28.310Z
72,2020-11-17T19:35:28.310Z
83,2020-11-17T19:35:28.310Z
85,2020-11-17T19:35:28.310Z
94,2020-11-17T19:35:28.310Z
90,2020-11-17T19:35:28.310Z
93,2020-11-17T19:35:28.310Z
113,2020-11-17T19:35:28.310Z
126,2020-11-17T19:35:28.310Z
130,2020-11-17T19:35:28.310Z
136,2020-11-17T19:35:28.310Z
151,2020-11-17T19:35:28.310Z
184,2020-11-17T19:35:28.310Z
190,2020-11-17T19:35:28.310Z
209,2020-11-17T19:35:28.310Z
209,2020-11-17T19:35:28.310Z
219,2020-11-17T19:35:28.310Z
236,2020-11-17T19:35:28.310Z
271,2020-11-17T19:35:28.310Z
265,2020-11-17T19:35:28.310Z
257,2020-11-17T19:35:28.310Z
285,2020-11-17T19:35:28.310Z
310,2020-11-17T19:35:28.310Z
329,2020-11-17T19:35:28.310Z
323,2020-11-17T19:35:28.310Z
312,2020-11-17T19:35:28.310Z
317,2020-11-17T19:35:28.310Z
323,2020-11-17T19:35:28.310Z
336,2020-11-17T19:35:28.310Z
319,2020-11-17T19:35:28.310Z
318,2020-11-17T19:35:28.310Z
338,2020-11-17T19:35:28.310Z
350,2020-11-17T19:35:28.310Z
328,2020-11-17T19:35:28.310Z
342,2020-11-17T19:35:28.310Z
355,2020-11-17T19:35:28.310Z
357,2020-11-17T19:35:28.310Z
367,2020-11-17T19:35:28.310Z
388,2020-11-17T19:35:28.310Z
387,2020-11-17T19:35:28.310Z
391,2020-11-17T19:35:28.310Z
373,2020-11-17T19:35:28.310Z
373,2020-11-17T19:35:28.310Z
371,2020-11-17T19:35:28.310Z
369,2020-11-17T19:35:28.310Z
383,2020-11-17T19:35:28.310Z
375,2020-11-17T19:35:28.310Z
393,2020-11-17T19:35:28.310Z
397,2020-11-17T19:35:28.310Z
383,2020-11-17T19:35:28.310Z
394,2020-11-17T19:35:28.310Z
401,2020-11-17T19:35:28.310Z
404,2020-11-17T19:35:28.310Z
406,2020-11-17T19:35:28.310Z
425,2020-11-17T19:35:28.310Z
426,2020-11-17T19:35:28.310Z
416,2020-11-17T19:35:28.310Z
423,2020-11-17T19:35:28.310Z
416,2020-11-17T19:35:28.310Z
439,2020-11-17T19:35:28.310Z
454,2020-11-17T19:35:28.310Z
435,2020-11-17T19:35:28.310Z
416,2020-11-17T19:35:28.310Z
414,2020-11-17T19:35:28.310Z
402,2020-11-17T19:35:28.310Z
417,2020-11-17T19:35:28.310Z
439,2020-11-17T19:35:28.310Z
454,2020-11-17T19:35:28.310Z
456,2020-11-17T19:35:28.310Z
461,2020-11-17T19:35:28.310Z
486,2020-11-17T19:35:28.310Z
494,2020-11-17T19:35:28.310Z
488,2020-11-17T19:35:28.310Z
518,2020-11-17T19:35:28.310Z
517,2020-11-17T19:35:28.310Z
524,2020-11-17T19:35:28.310Z
516,2020-11-17T19:35:28.310Z
533,2020-11-17T19:35:28.310Z
