age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,334944,297007,1538337,21.8,19.3,2021-04-18T14:06:40.400Z
20-29,977427,881205,1300361,75.2,67.8,2021-04-18T14:06:40.400Z
30-39,951100,876910,1197026,79.5,73.3,2021-04-18T14:06:40.400Z
40-49,919444,859662,1098556,83.7,78.3,2021-04-18T14:06:40.400Z
50-59,750956,705601,849966,88.4,83.0,2021-04-18T14:06:40.400Z
60-69,664000,633171,741639,89.5,85.4,2021-04-18T14:06:40.400Z
70-79,480935,464318,490784,98.0,94.6,2021-04-18T14:06:40.400Z
80-89,215286,207067,225538,95.5,91.8,2021-04-18T14:06:40.400Z
90+,50856,47920,51496,98.8,93.1,2021-04-18T14:06:40.400Z
