name,amount,lastUpdate,date
hard,378,2020-12-15T08:33:01.617Z,2020-12-15T08:33:01.617Z
moderate,158,2020-12-15T08:33:01.617Z,2020-12-15T08:33:01.617Z
critical,118,2020-12-15T08:33:01.617Z,2020-12-15T08:33:01.617Z
name,amount,lastUpdate,date
hard,378,2020-12-15T08:33:01.617Z,2020-12-15T08:33:01.617Z
moderate,158,2020-12-15T08:33:01.617Z,2020-12-15T08:33:01.617Z
critical,118,2020-12-15T08:33:01.617Z,2020-12-15T08:33:01.617Z
