section,male,female,lastUpdate,date
0,2,3,2021-03-19T05:24:51.643Z,2021-03-19T05:24:51.643Z
10,3,1,2021-03-19T05:24:51.643Z,2021-03-19T05:24:51.643Z
20,18,13,2021-03-19T05:24:51.643Z,2021-03-19T05:24:51.643Z
30,26,18,2021-03-19T05:24:51.643Z,2021-03-19T05:24:51.643Z
40,58,47,2021-03-19T05:24:51.643Z,2021-03-19T05:24:51.643Z
50,218,103,2021-03-19T05:24:51.643Z,2021-03-19T05:24:51.643Z
60,585,263,2021-03-19T05:24:51.643Z,2021-03-19T05:24:51.643Z
70,987,536,2021-03-19T05:24:51.643Z,2021-03-19T05:24:51.643Z
80,1071,939,2021-03-19T05:24:51.643Z,2021-03-19T05:24:51.643Z
90,505,675,2021-03-19T05:24:51.643Z,2021-03-19T05:24:51.643Z
