date,new_hospitalized,Counthospitalized,Counthospitalized_without_release,CountHardStatus,CountMediumStatus,CountEasyStatus,CountBreath,CountDeath,total_beds,StandardOccupancy,num_visits,patients_home,patients_hotel,lastUpdate
2020-03-02T00:00:00.000Z,1,11,11,0,0,11,0,0,1442,0.007628294036061026,5632,-232,0,2020-09-13T03:53:52.697Z
2020-03-03T00:00:00.000Z,0,10,10,0,0,10,0,0,1442,0.006934812760055479,7857,-229,0,2020-09-13T03:53:52.697Z
2020-03-04T00:00:00.000Z,0,12,11,0,0,12,0,0,1442,0.008321775312066574,7012,-231,0,2020-09-13T03:53:52.697Z
2020-03-05T00:00:00.000Z,1,13,13,1,0,12,0,0,1442,0.009015256588072122,7012,-231,0,2020-09-13T03:53:52.697Z
2020-03-06T00:00:00.000Z,1,16,16,2,0,14,1,0,1442,0.01109570041608877,5177,-230,0,2020-09-13T03:53:52.697Z
2020-03-07T00:00:00.000Z,1,20,20,3,0,17,2,0,1442,0.01386962552011096,4861,-230,0,2020-09-13T03:53:52.697Z
2020-03-08T00:00:00.000Z,2,26,26,5,0,21,4,0,1442,0.01803051317614424,7330,-228,0,2020-09-13T03:53:52.697Z
2020-03-09T00:00:00.000Z,7,39,39,6,0,33,5,0,1442,0.02704576976421637,6205,-237,0,2020-09-13T03:53:52.697Z
2020-03-10T00:00:00.000Z,2,59,59,6,0,53,5,0,1442,0.04091539528432733,6021,-224,0,2020-09-13T03:53:52.697Z
2020-03-11T00:00:00.000Z,10,81,81,7,1,73,6,0,1442,0.05617198335644938,5981,-226,0,2020-09-13T03:53:52.697Z
2020-03-12T00:00:00.000Z,6,103,101,7,1,95,6,0,1442,0.07142857142857142,5983,-225,0,2020-09-13T03:53:52.697Z
2020-03-13T00:00:00.000Z,10,123,122,7,4,112,6,0,1442,0.08529819694868239,4121,-211,0,2020-09-13T03:53:52.697Z
2020-03-14T00:00:00.000Z,20,162,161,6,4,152,4,0,1442,0.1123439667128988,3692,-221,0,2020-09-13T03:53:52.697Z
2020-03-15T00:00:00.000Z,37,202,200,9,6,187,6,0,1442,0.1400832177531207,5489,-222,0,2020-09-13T03:53:52.697Z
2020-03-16T00:00:00.000Z,27,221,215,11,5,205,7,0,1442,0.1532593619972261,4759,-164,0,2020-09-13T03:53:52.697Z
2020-03-17T00:00:00.000Z,46,256,256,12,6,238,7,0,1442,0.1775312066574203,4338,-115,0,2020-09-13T03:53:52.697Z
2020-03-18T00:00:00.000Z,54,306,269,16,11,279,7,0,1442,0.2122052704576976,3920,-15,0,2020-09-13T03:53:52.697Z
2020-03-19T00:00:00.000Z,31,295,264,21,11,263,12,0,1442,0.2045769764216366,4053,116,0,2020-09-13T03:53:52.697Z
2020-03-20T00:00:00.000Z,30,289,251,23,14,252,12,1,1442,0.2004160887656033,3207,291,0,2020-09-13T03:53:52.697Z
2020-03-21T00:00:00.000Z,35,277,274,27,21,229,15,0,1442,0.1920943134535368,2905,474,0,2020-09-13T03:53:52.697Z
2020-03-22T00:00:00.000Z,54,324,305,37,32,255,22,0,1442,0.2246879334257975,4523,689,0,2020-09-13T03:53:52.697Z
2020-03-23T00:00:00.000Z,58,352,323,42,36,274,24,0,1442,0.2441054091539529,4053,1010,0,2020-09-13T03:53:52.697Z
2020-03-24T00:00:00.000Z,82,395,343,45,48,302,26,3,1442,0.2739251040221914,3963,1401,0,2020-09-13T03:53:52.697Z
