section,male,female,lastUpdate,date
0,0,2,2021-02-26T12:35:31.343Z,2021-02-26T12:35:31.343Z
10,1,3,2021-02-26T12:35:31.343Z,2021-02-26T12:35:31.343Z
20,18,11,2021-02-26T12:35:31.343Z,2021-02-26T12:35:31.343Z
30,29,24,2021-02-26T12:35:31.343Z,2021-02-26T12:35:31.343Z
40,50,34,2021-02-26T12:35:31.343Z,2021-02-26T12:35:31.343Z
50,85,59,2021-02-26T12:35:31.343Z,2021-02-26T12:35:31.343Z
60,92,56,2021-02-26T12:35:31.343Z,2021-02-26T12:35:31.343Z
70,79,57,2021-02-26T12:35:31.343Z,2021-02-26T12:35:31.343Z
80,42,50,2021-02-26T12:35:31.343Z,2021-02-26T12:35:31.343Z
90,11,12,2021-02-26T12:35:31.343Z,2021-02-26T12:35:31.343Z
