section,male,female,lastUpdate,date
0,41318,39061,2021-01-31T18:48:55.233Z,2021-01-31T18:48:55.233Z
10,72221,62303,2021-01-31T18:48:55.233Z,2021-01-31T18:48:55.233Z
20,60312,60657,2021-01-31T18:48:55.233Z,2021-01-31T18:48:55.233Z
30,43231,45447,2021-01-31T18:48:55.233Z,2021-01-31T18:48:55.233Z
40,37315,41030,2021-01-31T18:48:55.233Z,2021-01-31T18:48:55.233Z
50,28608,30467,2021-01-31T18:48:55.233Z,2021-01-31T18:48:55.233Z
60,20440,19311,2021-01-31T18:48:55.233Z,2021-01-31T18:48:55.233Z
70,10144,9844,2021-01-31T18:48:55.233Z,2021-01-31T18:48:55.233Z
80,4431,5957,2021-01-31T18:48:55.233Z,2021-01-31T18:48:55.233Z
90,1174,2508,2021-01-31T18:48:55.233Z,2021-01-31T18:48:55.233Z
