total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2810,1801,368,264,758,407,2021-01-31T18:48:55.233Z
100,64,20,15,42,23,2021-01-31T18:48:55.233Z
