total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3440,1217,237,180,473,312,2021-02-24T19:25:32.953Z
100,35,19,15,39,26,2021-02-24T19:25:32.953Z
