dates,averages,lastUpdate
"{'begin_date': '3.1.21', 'end_date': '9.1.21'}",7245,2021-01-27T04:15:33.720Z
"{'begin_date': '10.1.21', 'end_date': '16.1.21'}",8317,2021-01-27T04:15:33.720Z
"{'begin_date': '17.1.21', 'end_date': '23.1.21'}",7092,2021-01-27T04:15:33.720Z
"{'begin_date': '24.1.21', 'end_date': '27.1.21'}",5667,2021-01-27T04:15:33.720Z
