dates,averages,lastUpdate
"{'begin_date': '24.1.21', 'end_date': '30.1.21'}",6537,2021-02-15T15:23:55.810Z
"{'begin_date': '31.1.21', 'end_date': '6.2.21'}",6582,2021-02-15T15:23:55.810Z
"{'begin_date': '7.2.21', 'end_date': '13.2.21'}",5108,2021-02-15T15:23:55.810Z
"{'begin_date': '14.2.21', 'end_date': '14.2.21'}",3450,2021-02-15T15:23:55.810Z
