total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2208,1772,329,238,779,420,2021-01-29T07:28:39.920Z
100,80,19,13,44,24,2021-01-29T07:28:39.920Z
