section,male,female,lastUpdate,date
0,0,0,2020-11-01T07:21:52.370Z,2020-11-01T07:21:52.370Z
10,1,1,2020-11-01T07:21:52.370Z,2020-11-01T07:21:52.370Z
20,0,0,2020-11-01T07:21:52.370Z,2020-11-01T07:21:52.370Z
30,2,0,2020-11-01T07:21:52.370Z,2020-11-01T07:21:52.370Z
40,9,0,2020-11-01T07:21:52.370Z,2020-11-01T07:21:52.370Z
50,21,10,2020-11-01T07:21:52.370Z,2020-11-01T07:21:52.370Z
60,39,12,2020-11-01T07:21:52.370Z,2020-11-01T07:21:52.370Z
70,33,23,2020-11-01T07:21:52.370Z,2020-11-01T07:21:52.370Z
80,9,9,2020-11-01T07:21:52.370Z,2020-11-01T07:21:52.370Z
90,0,1,2020-11-01T07:21:52.370Z,2020-11-01T07:21:52.370Z
