name,coronaOccupancy,normalOccupancy,isolatedTeam,lastUpdate,date
שיבא,,95.44303894042969,64,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
יוספטל,,73.84615325927734,4,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
שמיר,,71.04376983642578,60,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
וולפסון,,76.72035217285156,28,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
זיו צפת,,75.79251098632812,19,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
הלל יפה,,84.07766723632812,22,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
נהריה,,79.11479949951172,21,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
ברזילי,,80.13245391845703,23,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
פוריה,,63.09859085083008,7,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
סוראסקי,,112.211784362793,57,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
בני ציון,,86.1431884765625,10,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
רבין ק. בילינסון,,86.70658874511719,45,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
סורוקה,,77.99827575683594,21,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
מאיר,,74.29306030273438,19,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
קפלן,,75.63176727294922,47,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
"רמב""ם",,93.34016418457031,29,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
הכרמל,,74.2331314086914,17,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
השרון ק. גולדה,,59.33609771728516,18,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
הדסה עין כרם,,,68,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
הסקוטי,,73.68421173095703,1,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
סנט וינסנט,,31.34328269958496,1,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
המשפחה הקדושה,,,0,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
סנט ג'וזף,,,0,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
שערי צדק,,113.1449661254883,31,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
אל מקאסד,,,0,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
לניאדו,,101.1142044067383,30,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
אוגוסטה ויקטוריה,,,1,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
מעייני הישועה,,98.73417663574219,31,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
אסותא אשדוד,,,3,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
שניידר,,,0,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
המרכזי בעמק,,66.37931060791016,25,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
