section,male,female,lastUpdate,date
0,2,2,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
10,3,2,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
20,12,9,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
30,17,13,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
40,41,33,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
50,178,83,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
60,500,217,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
70,864,443,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
80,964,818,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
90,467,614,2021-02-11T20:17:35.403Z,2021-02-11T20:17:35.403Z
