section,male,female,lastUpdate,date
0,0,1,2021-02-14T20:02:50.060Z,2021-02-14T20:02:50.060Z
10,0,2,2021-02-14T20:02:50.060Z,2021-02-14T20:02:50.060Z
20,4,3,2021-02-14T20:02:50.060Z,2021-02-14T20:02:50.060Z
30,12,11,2021-02-14T20:02:50.060Z,2021-02-14T20:02:50.060Z
40,21,14,2021-02-14T20:02:50.060Z,2021-02-14T20:02:50.060Z
50,38,18,2021-02-14T20:02:50.060Z,2021-02-14T20:02:50.060Z
60,50,26,2021-02-14T20:02:50.060Z,2021-02-14T20:02:50.060Z
70,38,24,2021-02-14T20:02:50.060Z,2021-02-14T20:02:50.060Z
80,12,17,2021-02-14T20:02:50.060Z,2021-02-14T20:02:50.060Z
90,2,2,2021-02-14T20:02:50.060Z,2021-02-14T20:02:50.060Z
