section,male,female,lastUpdate,date
0,0,3.0,2021-04-01T14:35:31.573Z,2021-04-01T14:35:31.573Z
10,0,,2021-04-01T14:35:31.573Z,2021-04-01T14:35:31.573Z
20,7,2.0,2021-04-01T14:35:31.573Z,2021-04-01T14:35:31.573Z
30,8,14.0,2021-04-01T14:35:31.573Z,2021-04-01T14:35:31.573Z
40,33,16.0,2021-04-01T14:35:31.573Z,2021-04-01T14:35:31.573Z
50,50,26.0,2021-04-01T14:35:31.573Z,2021-04-01T14:35:31.573Z
60,41,40.0,2021-04-01T14:35:31.573Z,2021-04-01T14:35:31.573Z
70,38,32.0,2021-04-01T14:35:31.573Z,2021-04-01T14:35:31.573Z
80,23,20.0,2021-04-01T14:35:31.573Z,2021-04-01T14:35:31.573Z
90,5,8.0,2021-04-01T14:35:31.573Z,2021-04-01T14:35:31.573Z
