total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2020,1847,375,283,763,395,2021-01-22T07:17:51.503Z
100,91,20,15,41,21,2021-01-22T07:17:51.503Z
