age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,298306,203547,1538337,19.4,13.2,2021-03-12T13:52:09.540Z
20-29,901378,614111,1300361,69.3,47.2,2021-03-12T13:52:09.540Z
30-39,908427,656981,1197026,75.9,54.9,2021-03-12T13:52:09.540Z
40-49,895956,724003,1098556,81.6,65.9,2021-03-12T13:52:09.540Z
50-59,734308,625747,849966,86.4,73.6,2021-03-12T13:52:09.540Z
60-69,649019,591384,741639,87.5,79.7,2021-03-12T13:52:09.540Z
70-79,472000,443478,490784,96.2,90.4,2021-03-12T13:52:09.540Z
80-89,210584,196771,225538,93.4,87.2,2021-03-12T13:52:09.540Z
90+,49386,45518,51496,95.9,88.4,2021-03-12T13:52:09.540Z
