section,male,female,lastUpdate,date
0,0,0,2020-12-25T12:19:08.427Z,2020-12-25T12:19:08.427Z
10,2,0,2020-12-25T12:19:08.427Z,2020-12-25T12:19:08.427Z
20,0,0,2020-12-25T12:19:08.427Z,2020-12-25T12:19:08.427Z
30,0,0,2020-12-25T12:19:08.427Z,2020-12-25T12:19:08.427Z
40,6,2,2020-12-25T12:19:08.427Z,2020-12-25T12:19:08.427Z
50,14,1,2020-12-25T12:19:08.427Z,2020-12-25T12:19:08.427Z
60,33,12,2020-12-25T12:19:08.427Z,2020-12-25T12:19:08.427Z
70,27,17,2020-12-25T12:19:08.427Z,2020-12-25T12:19:08.427Z
80,4,6,2020-12-25T12:19:08.427Z,2020-12-25T12:19:08.427Z
90,1,2,2020-12-25T12:19:08.427Z,2020-12-25T12:19:08.427Z
