name,amount,lastUpdate,date
hard,315,2020-12-08T04:41:42.923Z,2020-12-08T04:41:42.923Z
moderate,93,2020-12-08T04:41:42.923Z,2020-12-08T04:41:42.923Z
critical,102,2020-12-08T04:41:42.923Z,2020-12-08T04:41:42.923Z
name,amount,lastUpdate,date
hard,315,2020-12-08T04:41:42.923Z,2020-12-08T04:41:42.923Z
moderate,93,2020-12-08T04:41:42.923Z,2020-12-08T04:41:42.923Z
critical,102,2020-12-08T04:41:42.923Z,2020-12-08T04:41:42.923Z
