age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,323979,277386,1538337,21.1,18.0,2021-04-03T14:56:45.993Z
20-29,951868,831689,1300361,73.2,64.0,2021-04-03T14:56:45.993Z
30-39,930894,838933,1197026,77.8,70.1,2021-04-03T14:56:45.993Z
40-49,906496,835912,1098556,82.5,76.1,2021-04-03T14:56:45.993Z
50-59,742409,692113,849966,87.3,81.4,2021-04-03T14:56:45.993Z
60-69,658600,625869,741639,88.8,84.4,2021-04-03T14:56:45.993Z
70-79,477717,460594,490784,97.3,93.8,2021-04-03T14:56:45.993Z
80-89,213562,205027,225538,94.7,90.9,2021-04-03T14:56:45.993Z
90+,50203,47314,51496,97.5,91.9,2021-04-03T14:56:45.993Z
