section,male,female,lastUpdate,date
0,61819,58398,2021-04-03T14:56:45.993Z,2021-04-03T14:56:45.993Z
10,92027,83608,2021-04-03T14:56:45.993Z,2021-04-03T14:56:45.993Z
20,76690,80184,2021-04-03T14:56:45.993Z,2021-04-03T14:56:45.993Z
30,55675,59741,2021-04-03T14:56:45.993Z,2021-04-03T14:56:45.993Z
40,46332,51453,2021-04-03T14:56:45.993Z,2021-04-03T14:56:45.993Z
50,34482,37350,2021-04-03T14:56:45.993Z,2021-04-03T14:56:45.993Z
60,23536,23074,2021-04-03T14:56:45.993Z,2021-04-03T14:56:45.993Z
70,11743,11726,2021-04-03T14:56:45.993Z,2021-04-03T14:56:45.993Z
80,5233,7202,2021-04-03T14:56:45.993Z,2021-04-03T14:56:45.993Z
90,1425,2965,2021-04-03T14:56:45.993Z,2021-04-03T14:56:45.993Z
