total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2917,1537,330,208,608,391,2021-02-13T18:56:28.940Z
100,53,21,14,40,25,2021-02-13T18:56:28.940Z
