section,male,female,lastUpdate,date
0,0,0,2020-11-17T15:45:50.663Z,2020-11-17T15:45:50.663Z
10,2,0,2020-11-17T15:45:50.663Z,2020-11-17T15:45:50.663Z
20,0,2,2020-11-17T15:45:50.663Z,2020-11-17T15:45:50.663Z
30,0,1,2020-11-17T15:45:50.663Z,2020-11-17T15:45:50.663Z
40,6,1,2020-11-17T15:45:50.663Z,2020-11-17T15:45:50.663Z
50,11,6,2020-11-17T15:45:50.663Z,2020-11-17T15:45:50.663Z
60,24,8,2020-11-17T15:45:50.663Z,2020-11-17T15:45:50.663Z
70,26,20,2020-11-17T15:45:50.663Z,2020-11-17T15:45:50.663Z
80,5,8,2020-11-17T15:45:50.663Z,2020-11-17T15:45:50.663Z
90,2,2,2020-11-17T15:45:50.663Z,2020-11-17T15:45:50.663Z
