section,male,female,lastUpdate,date
0,2,2,2021-02-11T16:13:16.903Z,2021-02-11T16:13:16.903Z
10,3,2,2021-02-11T16:13:16.903Z,2021-02-11T16:13:16.903Z
20,12,9,2021-02-11T16:13:16.903Z,2021-02-11T16:13:16.903Z
30,17,13,2021-02-11T16:13:16.903Z,2021-02-11T16:13:16.903Z
40,41,33,2021-02-11T16:13:16.903Z,2021-02-11T16:13:16.903Z
50,178,83,2021-02-11T16:13:16.903Z,2021-02-11T16:13:16.903Z
60,500,215,2021-02-11T16:13:16.903Z,2021-02-11T16:13:16.903Z
70,863,442,2021-02-11T16:13:16.903Z,2021-02-11T16:13:16.903Z
80,960,818,2021-02-11T16:13:16.903Z,2021-02-11T16:13:16.903Z
90,465,613,2021-02-11T16:13:16.903Z,2021-02-11T16:13:16.903Z
