section,male,female,lastUpdate,date
0,0,1,2020-11-16T16:18:01.597Z,2020-11-16T16:18:01.597Z
10,2,1,2020-11-16T16:18:01.597Z,2020-11-16T16:18:01.597Z
20,1,2,2020-11-16T16:18:01.597Z,2020-11-16T16:18:01.597Z
30,0,4,2020-11-16T16:18:01.597Z,2020-11-16T16:18:01.597Z
40,13,9,2020-11-16T16:18:01.597Z,2020-11-16T16:18:01.597Z
50,29,17,2020-11-16T16:18:01.597Z,2020-11-16T16:18:01.597Z
60,51,27,2020-11-16T16:18:01.597Z,2020-11-16T16:18:01.597Z
70,61,36,2020-11-16T16:18:01.597Z,2020-11-16T16:18:01.597Z
80,21,23,2020-11-16T16:18:01.597Z,2020-11-16T16:18:01.597Z
90,5,13,2020-11-16T16:18:01.597Z,2020-11-16T16:18:01.597Z
