age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,290962,188930,1538337,18.9,12.3,2021-03-10T07:35:41.117Z
20-29,876813,562384,1300361,67.4,43.2,2021-03-10T07:35:41.117Z
30-39,886387,613643,1197026,74.0,51.3,2021-03-10T07:35:41.117Z
40-49,880574,697558,1098556,80.2,63.5,2021-03-10T07:35:41.117Z
50-59,725332,610723,849966,85.3,71.9,2021-03-10T07:35:41.117Z
60-69,645283,584640,741639,87.0,78.8,2021-03-10T07:35:41.117Z
70-79,470420,440846,490784,95.9,89.8,2021-03-10T07:35:41.117Z
80-89,209818,195752,225538,93.0,86.8,2021-03-10T07:35:41.117Z
90+,49192,45332,51496,95.5,88.0,2021-03-10T07:35:41.117Z
