total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3060,1668,292,229,699,395,2021-02-05T07:18:48.910Z
100,55,18,14,42,24,2021-02-05T07:18:48.910Z
