age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,320263,268319,1538337,20.8,17.4,2021-03-29T14:17:08.287Z
20-29,943353,807921,1300361,72.5,62.1,2021-03-29T14:17:08.287Z
30-39,924556,820396,1197026,77.2,68.5,2021-03-29T14:17:08.287Z
40-49,902039,824003,1098556,82.1,75.0,2021-03-29T14:17:08.287Z
50-59,739460,684990,849966,87.0,80.6,2021-03-29T14:17:08.287Z
60-69,656827,621786,741639,88.6,83.8,2021-03-29T14:17:08.287Z
70-79,476741,458454,490784,97.1,93.4,2021-03-29T14:17:08.287Z
80-89,212977,203921,225538,94.4,90.4,2021-03-29T14:17:08.287Z
90+,50020,47057,51496,97.1,91.4,2021-03-29T14:17:08.287Z
