section,male,female,lastUpdate,date
0,0.0,4,2021-03-29T14:17:08.287Z,2021-03-29T14:17:08.287Z
10,,1,2021-03-29T14:17:08.287Z,2021-03-29T14:17:08.287Z
20,7.0,5,2021-03-29T14:17:08.287Z,2021-03-29T14:17:08.287Z
30,11.0,14,2021-03-29T14:17:08.287Z,2021-03-29T14:17:08.287Z
40,38.0,20,2021-03-29T14:17:08.287Z,2021-03-29T14:17:08.287Z
50,57.0,33,2021-03-29T14:17:08.287Z,2021-03-29T14:17:08.287Z
60,54.0,49,2021-03-29T14:17:08.287Z,2021-03-29T14:17:08.287Z
70,45.0,41,2021-03-29T14:17:08.287Z,2021-03-29T14:17:08.287Z
80,29.0,35,2021-03-29T14:17:08.287Z,2021-03-29T14:17:08.287Z
90,4.0,8,2021-03-29T14:17:08.287Z,2021-03-29T14:17:08.287Z
