section,male,female,lastUpdate,date
0,0,0,2020-12-20T04:33:07.710Z,2020-12-20T04:33:07.710Z
10,2,0,2020-12-20T04:33:07.710Z,2020-12-20T04:33:07.710Z
20,0,0,2020-12-20T04:33:07.710Z,2020-12-20T04:33:07.710Z
30,0,0,2020-12-20T04:33:07.710Z,2020-12-20T04:33:07.710Z
40,5,2,2020-12-20T04:33:07.710Z,2020-12-20T04:33:07.710Z
50,12,1,2020-12-20T04:33:07.710Z,2020-12-20T04:33:07.710Z
60,25,9,2020-12-20T04:33:07.710Z,2020-12-20T04:33:07.710Z
70,21,10,2020-12-20T04:33:07.710Z,2020-12-20T04:33:07.710Z
80,11,7,2020-12-20T04:33:07.710Z,2020-12-20T04:33:07.710Z
90,2,0,2020-12-20T04:33:07.710Z,2020-12-20T04:33:07.710Z
