total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2810,1802,368,264,759,406,2021-01-31T17:19:30.317Z
100,64,20,15,42,23,2021-01-31T17:19:30.317Z
