section,male,female,lastUpdate,date
0,1,1,2020-12-03T18:59:29.597Z,2020-12-03T18:59:29.597Z
10,1,2,2020-12-03T18:59:29.597Z,2020-12-03T18:59:29.597Z
20,1,5,2020-12-03T18:59:29.597Z,2020-12-03T18:59:29.597Z
30,11,7,2020-12-03T18:59:29.597Z,2020-12-03T18:59:29.597Z
40,21,11,2020-12-03T18:59:29.597Z,2020-12-03T18:59:29.597Z
50,99,55,2020-12-03T18:59:29.597Z,2020-12-03T18:59:29.597Z
60,264,108,2020-12-03T18:59:29.597Z,2020-12-03T18:59:29.597Z
70,481,240,2020-12-03T18:59:29.597Z,2020-12-03T18:59:29.597Z
80,538,446,2020-12-03T18:59:29.597Z,2020-12-03T18:59:29.597Z
90,238,361,2020-12-03T18:59:29.597Z,2020-12-03T18:59:29.597Z
