test_date,age_60_and_above,male,female,NULL
2020-03-11,NULL,8,12,3
2020-03-11,No,115,113,1
2020-03-11,Yes,24,18,0
2020-03-12,NULL,15,12,6
2020-03-12,No,240,245,5
2020-03-12,Yes,54,54,3
2020-03-13,NULL,16,17,13
2020-03-13,No,252,268,7
2020-03-13,Yes,53,57,4
2020-03-14,NULL,18,19,4
2020-03-14,No,231,223,1
2020-03-14,Yes,48,67,0
2020-03-15,NULL,31,46,17
2020-03-15,No,353,361,18
2020-03-15,Yes,80,76,2
2020-03-16,NULL,91,90,17
2020-03-16,No,443,468,18
2020-03-16,Yes,92,86,0
2020-03-17,NULL,53,54,6
2020-03-17,No,535,602,4
2020-03-17,Yes,97,114,0
2020-03-18,NULL,45,42,17
2020-03-18,No,776,835,21
2020-03-18,Yes,129,113,2
2020-03-19,NULL,53,51,14
2020-03-19,No,831,945,8
2020-03-19,Yes,155,155,2
2020-03-20,NULL,62,78,13
2020-03-20,No,665,709,14
2020-03-20,Yes,145,126,1
2020-03-21,NULL,46,41,6
2020-03-21,No,668,624,8
2020-03-21,Yes,117,111,0
2020-03-22,NULL,99,86,18
2020-03-22,No,1223,1533,29
2020-03-22,Yes,270,276,4
2020-03-23,NULL,60,70,42
2020-03-23,No,1291,1344,57
2020-03-23,Yes,291,303,5
2020-03-24,NULL,102,87,38
2020-03-24,No,1852,1937,54
2020-03-24,Yes,326,323,2
2020-03-25,NULL,127,100,33
2020-03-25,No,2029,2193,70
2020-03-25,Yes,399,384,0
2020-03-26,NULL,98,93,92
2020-03-26,No,2302,2616,308
2020-03-26,Yes,426,459,11
2020-03-27,NULL,88,83,34
2020-03-27,No,2402,2302,43
2020-03-27,Yes,424,439,2
2020-03-28,NULL,109,119,41
2020-03-28,No,2208,2067,91
2020-03-28,Yes,407,421,3
2020-03-29,NULL,121,106,25
2020-03-29,No,2129,2114,26
2020-03-29,Yes,391,334,4
2020-03-30,NULL,109,120,23
2020-03-30,No,2484,2345,24
2020-03-30,Yes,411,359,2
2020-03-31,NULL,139,112,17
2020-03-31,No,2932,2789,64
2020-03-31,Yes,539,509,10
2020-04-01,NULL,107,121,41
2020-04-01,No,3420,3379,143
2020-04-01,Yes,675,730,29
2020-04-02,NULL,135,131,26
2020-04-02,No,3302,3154,67
2020-04-02,Yes,589,629,10
2020-04-03,NULL,224,194,16
2020-04-03,No,3408,2767,198
2020-04-03,Yes,529,460,30
2020-04-04,NULL,143,165,22
2020-04-04,No,2026,1725,60
2020-04-04,Yes,396,480,10
2020-04-05,NULL,116,85,33
2020-04-05,No,2964,2563,118
2020-04-05,Yes,539,657,15
2020-04-06,NULL,143,95,10
2020-04-06,No,1949,1791,61
2020-04-06,Yes,353,415,6
2020-04-07,NULL,130,131,13
2020-04-07,No,2071,1891,94
2020-04-07,Yes,445,408,8
2020-04-08,NULL,90,75,45
2020-04-08,No,1574,1210,76
2020-04-08,Yes,285,305,8
2020-04-09,NULL,83,68,21
2020-04-09,No,1933,1409,180
2020-04-09,Yes,302,298,21
2020-04-10,NULL,104,96,19
2020-04-10,No,2185,1685,69
2020-04-10,Yes,500,685,27
2020-04-11,NULL,84,100,13
2020-04-11,No,1493,1300,85
2020-04-11,Yes,444,653,9
2020-04-12,NULL,184,187,100
2020-04-12,No,1747,1749,132
2020-04-12,Yes,620,908,108
2020-04-13,NULL,186,239,339
2020-04-13,No,2656,2770,152
2020-04-13,Yes,778,1056,25
2020-04-14,NULL,165,191,25
2020-04-14,No,2278,2017,29
2020-04-14,Yes,643,1018,7
2020-04-15,NULL,138,184,5
2020-04-15,No,2444,2239,16
2020-04-15,Yes,767,1346,33
2020-04-16,NULL,189,318,46
2020-04-16,No,2982,2767,63
2020-04-16,Yes,978,1610,19
2020-04-17,NULL,171,238,24
2020-04-17,No,2224,2146,62
2020-04-17,Yes,879,1511,14
2020-04-18,NULL,137,201,11
2020-04-18,No,1946,1592,25
2020-04-18,Yes,756,1354,7
2020-04-19,NULL,305,475,80
2020-04-19,No,3320,2976,134
2020-04-19,Yes,994,1844,29
2020-04-20,NULL,341,430,32
2020-04-20,No,3503,3278,120
2020-04-20,Yes,1070,1732,13
2020-04-21,NULL,199,229,98
2020-04-21,No,3426,3120,76
2020-04-21,Yes,876,1137,5
2020-04-22,NULL,230,234,70
2020-04-22,No,3550,3062,213
2020-04-22,Yes,792,1077,14
2020-04-23,NULL,252,274,26
2020-04-23,No,3234,2689,99
2020-04-23,Yes,720,986,8
2020-04-24,NULL,190,287,18
2020-04-24,No,1762,1533,45
2020-04-24,Yes,554,820,5
2020-04-25,NULL,95,208,13
2020-04-25,No,496,570,10
2020-04-25,Yes,219,363,4
2020-04-26,NULL,202,213,26
2020-04-26,No,1562,1210,3
2020-04-26,Yes,288,327,0
2020-04-27,NULL,210,200,12
2020-04-27,No,1331,1301,41
2020-04-27,Yes,310,304,4
2020-04-28,NULL,180,215,10
2020-04-28,No,884,933,6
2020-04-28,Yes,189,235,0
2020-04-29,NULL,132,111,1
2020-04-29,No,352,386,2
2020-04-29,Yes,156,190,0
2020-04-30,NULL,348,322,29
2020-04-30,No,2004,1786,24
2020-04-30,Yes,391,573,4
2020-05-01,NULL,227,309,2
2020-05-01,No,1959,1966,89
2020-05-01,Yes,586,762,2
2020-05-02,NULL,97,90,2
2020-05-02,No,677,744,37
2020-05-02,Yes,206,266,16
2020-05-03,NULL,186,317,28
2020-05-03,No,1583,1901,4
2020-05-03,Yes,638,1165,7
