test_date,age_60_and_above,male,female,NULL
2020-03-11,NULL,8,12,2
2020-03-11,No,122,118,1
2020-03-11,Yes,29,20,0
2020-03-12,NULL,14,11,1
2020-03-12,No,249,248,5
2020-03-12,Yes,54,59,3
2020-03-13,NULL,16,18,7
2020-03-13,No,257,271,7
2020-03-13,Yes,54,57,4
2020-03-14,NULL,18,19,3
2020-03-14,No,234,228,1
2020-03-14,Yes,54,70,0
2020-03-15,NULL,31,50,10
2020-03-15,No,366,374,19
2020-03-15,Yes,86,82,2
2020-03-16,NULL,98,87,16
2020-03-16,No,462,481,18
2020-03-16,Yes,98,90,0
2020-03-17,NULL,59,53,1
2020-03-17,No,548,621,4
2020-03-17,Yes,109,122,0
2020-03-18,NULL,45,41,17
2020-03-18,No,787,843,21
2020-03-18,Yes,130,119,2
2020-03-19,NULL,53,57,6
2020-03-19,No,854,966,9
2020-03-19,Yes,163,171,4
2020-03-20,NULL,60,76,8
2020-03-20,No,669,711,14
2020-03-20,Yes,147,128,1
2020-03-21,NULL,46,40,5
2020-03-21,No,670,627,8
2020-03-21,Yes,117,113,0
2020-03-22,NULL,113,93,16
2020-03-22,No,1342,1645,29
2020-03-22,Yes,287,289,3
2020-03-23,NULL,61,70,36
2020-03-23,No,1302,1353,57
2020-03-23,Yes,305,307,5
2020-03-24,NULL,99,87,34
2020-03-24,No,1862,1960,54
2020-03-24,Yes,331,328,2
2020-03-25,NULL,125,101,33
2020-03-25,No,2039,2205,70
2020-03-25,Yes,405,395,0
2020-03-26,NULL,97,93,92
2020-03-26,No,2317,2649,305
2020-03-26,Yes,434,470,11
2020-03-27,NULL,89,82,37
2020-03-27,No,2425,2319,43
2020-03-27,Yes,435,458,2
2020-03-28,NULL,106,104,38
2020-03-28,No,2224,2092,91
2020-03-28,Yes,421,436,3
2020-03-29,NULL,119,106,21
2020-03-29,No,2144,2130,26
2020-03-29,Yes,406,341,2
2020-03-30,NULL,108,125,19
2020-03-30,No,2492,2358,24
2020-03-30,Yes,420,366,1
2020-03-31,NULL,139,110,15
2020-03-31,No,2942,2807,64
2020-03-31,Yes,546,514,10
2020-04-01,NULL,98,116,40
2020-04-01,No,3434,3389,142
2020-04-01,Yes,688,741,28
2020-04-02,NULL,139,127,25
2020-04-02,No,3316,3164,67
2020-04-02,Yes,602,642,10
2020-04-03,NULL,161,149,13
2020-04-03,No,3430,2792,196
2020-04-03,Yes,538,468,30
2020-04-04,NULL,105,118,21
2020-04-04,No,2026,1729,60
2020-04-04,Yes,407,484,10
2020-04-05,NULL,103,80,31
2020-04-05,No,2983,2578,111
2020-04-05,Yes,550,677,10
2020-04-06,NULL,139,95,9
2020-04-06,No,1958,1797,60
2020-04-06,Yes,366,418,6
2020-04-07,NULL,126,125,11
2020-04-07,No,2086,1897,95
2020-04-07,Yes,449,419,8
2020-04-08,NULL,85,74,44
2020-04-08,No,1583,1216,75
2020-04-08,Yes,297,307,8
2020-04-09,NULL,86,67,21
2020-04-09,No,1934,1413,180
2020-04-09,Yes,306,306,20
2020-04-10,NULL,110,91,19
2020-04-10,No,2194,1700,69
2020-04-10,Yes,508,693,26
2020-04-11,NULL,75,89,11
2020-04-11,No,1493,1309,84
2020-04-11,Yes,462,659,9
2020-04-12,NULL,225,178,97
2020-04-12,No,1773,1763,130
2020-04-12,Yes,638,928,104
2020-04-13,NULL,178,221,316
2020-04-13,No,2725,2839,153
2020-04-13,Yes,802,1121,25
2020-04-14,NULL,166,180,23
2020-04-14,No,2282,2027,29
2020-04-14,Yes,655,1021,6
2020-04-15,NULL,115,158,4
2020-04-15,No,2431,2212,15
2020-04-15,Yes,725,1306,32
2020-04-16,NULL,187,312,34
2020-04-16,No,2954,2746,62
2020-04-16,Yes,1011,1656,17
2020-04-17,NULL,172,225,24
2020-04-17,No,2292,2209,61
2020-04-17,Yes,892,1442,14
2020-04-18,NULL,147,201,11
2020-04-18,No,1975,1612,26
2020-04-18,Yes,800,1448,7
2020-04-19,NULL,188,379,49
2020-04-19,No,3339,2967,134
2020-04-19,Yes,969,1655,28
2020-04-20,NULL,247,315,26
2020-04-20,No,3522,3316,119
2020-04-20,Yes,1081,1850,12
2020-04-21,NULL,192,227,96
2020-04-21,No,3455,3168,73
2020-04-21,Yes,937,1213,4
2020-04-22,NULL,232,238,53
2020-04-22,No,3574,3074,205
2020-04-22,Yes,816,1114,14
2020-04-23,NULL,240,266,26
2020-04-23,No,3315,2733,93
2020-04-23,Yes,741,997,8
2020-04-24,NULL,189,280,17
2020-04-24,No,1771,1552,44
2020-04-24,Yes,564,826,5
2020-04-25,NULL,81,175,11
2020-04-25,No,500,575,10
2020-04-25,Yes,224,367,4
2020-04-26,NULL,151,143,27
2020-04-26,No,1609,1259,5
2020-04-26,Yes,310,347,0
2020-04-27,NULL,160,147,13
2020-04-27,No,1359,1327,41
2020-04-27,Yes,317,314,4
2020-04-28,NULL,119,119,7
2020-04-28,No,897,952,6
2020-04-28,Yes,196,260,0
2020-04-29,NULL,114,81,1
2020-04-29,No,365,392,2
2020-04-29,Yes,162,194,0
2020-04-30,NULL,258,246,6
2020-04-30,No,2032,1816,35
2020-04-30,Yes,412,581,4
2020-05-01,NULL,214,290,2
2020-05-01,No,1976,1982,81
2020-05-01,Yes,594,769,2
2020-05-02,NULL,99,91,2
2020-05-02,No,680,751,34
2020-05-02,Yes,208,273,16
2020-05-03,NULL,181,318,26
2020-05-03,No,1596,1905,4
2020-05-03,Yes,643,1171,7
2020-05-04,NULL,186,166,87
2020-05-04,No,2021,1884,59
2020-05-04,Yes,490,517,9
2020-05-05,NULL,176,233,13
2020-05-05,No,2053,2197,19
2020-05-05,Yes,707,963,4
2020-05-06,NULL,185,394,16
2020-05-06,No,1899,2005,19
2020-05-06,Yes,671,1190,5
2020-05-07,NULL,235,216,14
2020-05-07,No,2667,2579,1
2020-05-07,Yes,597,780,0
2020-05-08,NULL,112,115,0
2020-05-08,No,1181,1367,0
2020-05-08,Yes,424,668,1
2020-05-09,NULL,48,52,1
2020-05-09,No,252,307,0
2020-05-09,Yes,137,178,1
2020-05-10,NULL,117,121,17
2020-05-10,No,1601,1795,0
2020-05-10,Yes,406,603,0
2020-05-11,NULL,117,121,14
2020-05-11,No,1861,2000,27
2020-05-11,Yes,543,883,11
2020-05-12,NULL,169,184,19
2020-05-12,No,1527,1744,2
2020-05-12,Yes,486,871,0
2020-05-13,NULL,135,178,70
2020-05-13,No,1355,1648,19
2020-05-13,Yes,549,1104,4
2020-05-14,NULL,124,154,37
2020-05-14,No,1331,1637,4
2020-05-14,Yes,435,834,1
2020-05-15,NULL,75,75,11
2020-05-15,No,641,786,1
2020-05-15,Yes,204,341,1
2020-05-16,NULL,39,34,0
2020-05-16,No,143,187,0
2020-05-16,Yes,115,92,0
2020-05-17,NULL,104,106,55
2020-05-17,No,1199,1234,7
2020-05-17,Yes,336,433,1
2020-05-18,NULL,144,138,9
2020-05-18,No,1408,1637,3
2020-05-18,Yes,387,579,1
2020-05-19,NULL,119,121,69
2020-05-19,No,1363,1600,29
2020-05-19,Yes,292,500,0
2020-05-20,NULL,110,131,5
2020-05-20,No,1179,1401,14
2020-05-20,Yes,306,414,3
2020-05-21,NULL,108,100,25
2020-05-21,No,1307,1565,6
2020-05-21,Yes,371,522,1
2020-05-22,NULL,72,109,3
2020-05-22,No,637,983,7
2020-05-22,Yes,298,532,0
2020-05-23,NULL,24,22,1
2020-05-23,No,100,121,0
2020-05-23,Yes,61,56,0
2020-05-24,NULL,58,84,19
2020-05-24,No,865,1144,1
2020-05-24,Yes,215,272,1
